Unnamed: 0,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,scaled_loc_dirty
0,1640579203504.jpg,1640579208606.jpg,1640579217348.jpg,1640579227198.jpg,1640579263327.jpg,3,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.6,0.8,0.4,0.8,0.0,1.0,0.8,0.4,2.0
1,1640579610659.jpg,1640579627503.jpg,1640579673835.jpg,1640579684677.jpg,1640579697027.jpg,0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.8,1.0,0.0,0.6,0.6,0.8,0.0,0.6,0.8,0.8,1.0
2,1640580161247.jpg,1640580167274.jpg,1640580182718.jpg,1640580191623.jpg,1640580197665.jpg,1,0.4,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.0,0.8,0.6,0.4,0.4,0.8,0.8,0.6,0.8,1.0
3,1640580719963.jpg,1640580724746.jpg,1640580731747.jpg,1640580743444.jpg,1640580752869.jpg,0,0.6,0.4,0.4,0.4,0.4,0.6,0.8,0.6,1.0,0.0,0.8,0.2,0.6,0.0,0.4,1.0,0.8,1.0
4,1640581262015.jpg,1640581266425.jpg,1640581272709.jpg,1640581279507.jpg,1640581299326.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.6,0.4,0.2,0.0,0.8,1.0,0.6,1.0
5,1640581601648.jpg,1640581609512.jpg,1640581616864.jpg,1640581622720.jpg,1640581632032.jpg,2,0.0,0.4,0.2,0.4,0.4,0.0,0.4,0.8,0.2,0.4,0.2,0.2,0.4,0.4,0.8,0.8,0.4,1.0
6,1640581920242.jpg,1640581926658.jpg,1640581943585.jpg,1640581966138.jpg,1640582096559.jpg,0,0.4,0.4,0.2,0.0,0.6,0.6,0.6,0.8,1.0,0.0,0.6,0.4,0.2,0.0,0.4,0.8,0.4,1.0
7,1640582526916.jpg,1640582534099.jpg,1640582546024.jpg,1640582555722.jpg,1640582568187.jpg,5,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.6,0.0,0.8,0.2,0.8,0.0,0.0,1.0,0.4,3.0
8,1640583240836.jpg,1640583248115.jpg,1640583256318.jpg,1640583264899.jpg,1640583270472.jpg,0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.8,0.8,0.0,0.2,0.2,0.4,0.0,0.8,0.4,0.2,1.0
9,1640584208313.jpg,1640584214505.jpg,1640584226446.jpg,1640584232569.jpg,1640584241235.jpg,3,0.6,0.6,0.6,0.8,0.8,0.8,0.4,0.4,0.6,0.0,0.6,0.2,0.6,0.0,0.4,0.4,0.4,2.0
