,Unnamed: 0,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,The left image has a lot more trash than the right image_nlvr_class1,The left image has a lot more trash than the right image_nlvr_class2,The left image has a lot more trash than the right image_nlvr_class3,The left image has a lot more trash than the right image_nlvr_class4,The left image has a lot more trash than the right image_nlvr_class5,The left image has a lot more waste than the right image_nlvr_class1,The left image has a lot more waste than the right image_nlvr_class2,The left image has a lot more waste than the right image_nlvr_class3,The left image has a lot more waste than the right image_nlvr_class4,The left image has a lot more waste than the right image_nlvr_class5,The left image shows a lot more garbage than the right image_nlvr_class1,The left image shows a lot more garbage than the right image_nlvr_class2,The left image shows a lot more garbage than the right image_nlvr_class3,The left image shows a lot more garbage than the right image_nlvr_class4,The left image shows a lot more garbage than the right image_nlvr_class5
0,0,1640579203504.jpg,1640579208606.jpg,1640579217348.jpg,1640579227198.jpg,1640579263327.jpg,3,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.6,0.8,0.4,0.8,0.0,1.0,0.8,0.4,3.210194893181324,3.2491255328059196,3.1719665825366974,3.1035320982337,3.005393609404564,2.675031878054142,2.6806102357804775,2.8230489790439606,2.669097952544689,2.6889382675290108,3.0446805506944656,2.9963073283433914,3.0488258078694344,2.7430911362171173,2.764397829771042
1,1,1640579610659.jpg,1640579627503.jpg,1640579673835.jpg,1640579684677.jpg,1640579697027.jpg,0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.8,1.0,0.0,0.6,0.6,0.8,0.0,0.6,0.8,0.8,1.6269296240061522,1.6637693084776402,1.609603164717555,1.5444933883845806,1.8967671375721693,1.5637050964869559,1.5764912681188434,1.671676788944751,1.5157413179986179,1.74339996650815,1.1750807971693575,1.1393863270059228,1.1756713311187923,0.9727754010818899,1.458778141066432
2,2,1640580161247.jpg,1640580167274.jpg,1640580182718.jpg,1640580191623.jpg,1640580197665.jpg,1,0.4,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.0,0.8,0.6,0.4,0.4,0.8,0.8,0.6,0.8,2.938407815992832,2.9663191102445126,2.906392116099596,2.845602460205555,2.7412784919142723,3.359499007463455,3.361033521592617,3.6116411834955215,3.396899700164795,3.136652670800686,2.211768601089716,2.1462519634515047,2.219430479221046,1.8359247874468565,1.8208630997687578
3,3,1640580719963.jpg,1640580724746.jpg,1640580731747.jpg,1640580743444.jpg,1640580752869.jpg,0,0.6,0.4,0.4,0.4,0.4,0.6,0.8,0.6,1.0,0.0,0.8,0.2,0.6,0.0,0.4,1.0,0.8,2.0179633973166347,2.051432658918202,1.9907334931194782,1.9286627098917961,2.0262934006750584,2.536753953434527,2.542987586930394,2.673136929050088,2.539992936886847,2.518046986311674,1.8502335892990232,1.7925118375569582,1.855969399213791,1.5381511598825455,1.6704069040715694
4,4,1640581262015.jpg,1640581266425.jpg,1640581272709.jpg,1640581279507.jpg,1640581299326.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.6,0.4,0.2,0.0,0.8,1.0,0.6,1.691790521144867,1.7370860800147057,1.6776665523648262,1.595587320625782,2.018659621477127,1.5223039984703064,1.5283671393990517,1.6827427521348,1.5425644591450691,1.8289802968502045,1.2188187837600708,1.1655015796422958,1.2233250699937344,0.9737803060561419,1.4426513984799385
5,5,1640581601648.jpg,1640581609512.jpg,1640581616864.jpg,1640581622720.jpg,1640581632032.jpg,2,0.0,0.4,0.2,0.4,0.4,0.0,0.4,0.8,0.2,0.4,0.2,0.2,0.4,0.4,0.8,0.8,0.4,2.8738500624895096,2.91996493935585,2.842403568327427,2.7566662654280663,3.015626572072506,2.627581238746643,2.6530190370976925,2.849484033882618,2.5668247118592262,2.8812674060463905,2.710745807737112,2.6505298539996147,2.713895905762911,2.3331948090344667,2.648986153304577
6,6,1640581920242.jpg,1640581926658.jpg,1640581943585.jpg,1640581966138.jpg,1640582096559.jpg,0,0.4,0.4,0.2,0.0,0.6,0.6,0.6,0.8,1.0,0.0,0.6,0.4,0.2,0.0,0.4,0.8,0.4,1.0364791192114353,1.063359871506691,1.0257729990407825,0.9688441576436162,1.242536885663867,1.170685096643865,1.1714801359921694,1.3054905105382204,1.188323306851089,1.3250636272132397,0.8820288293063641,0.8282163199037313,0.88695746101439,0.6324202422983944,0.9558244943618774
7,7,1640582526916.jpg,1640582534099.jpg,1640582546024.jpg,1640582555722.jpg,1640582568187.jpg,5,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.6,0.0,0.8,0.2,0.8,0.0,0.0,1.0,0.4,4.444195806980133,4.462134778499603,4.422209441661835,4.388812303543091,4.219769150018692,4.003152966499329,4.00615382194519,4.152493834495544,4.006509184837341,3.951470971107483,4.810724258422852,4.7958521246910095,4.811699271202087,4.628347754478455,4.479798674583435
8,8,1640583240836.jpg,1640583248115.jpg,1640583256318.jpg,1640583264899.jpg,1640583270472.jpg,0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.8,0.8,0.0,0.2,0.2,0.4,0.0,0.8,0.4,0.2,0.6933577936142683,0.7207682859152555,0.6815083669498563,0.6261755898594856,0.8383603617548943,0.4645830220542848,0.4652536241337657,0.5731016439385712,0.49664390552788973,0.6248782873153687,0.4341676961630583,0.39989680727012455,0.4376355865970254,0.29948734398931265,0.4746485520154238
9,9,1640584208313.jpg,1640584214505.jpg,1640584226446.jpg,1640584232569.jpg,1640584241235.jpg,3,0.6,0.6,0.6,0.8,0.8,0.8,0.4,0.4,0.6,0.0,0.6,0.2,0.6,0.0,0.4,0.4,0.4,3.120729673653841,3.1436262167990208,3.1073705293238163,3.0668065696954727,3.1414941027760506,2.56524327211082,2.571437538601458,2.664850952103734,2.572068762034178,2.7075130566954613,2.977595346979797,2.9480924187228084,2.980336844921112,2.776040816679597,2.927386060357094
