Unnamed: 0,Unnamed: 0.1,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?,The left image has a lot more trash than the right image_nlvr_class1,The left image has a lot more trash than the right image_nlvr_class2,The left image has a lot more trash than the right image_nlvr_class3,The left image has a lot more trash than the right image_nlvr_class4,The left image has a lot more trash than the right image_nlvr_class5,The left image has a lot more waste than the right image_nlvr_class1,The left image has a lot more waste than the right image_nlvr_class2,The left image has a lot more waste than the right image_nlvr_class3,The left image has a lot more waste than the right image_nlvr_class4,The left image has a lot more waste than the right image_nlvr_class5,The left image shows a lot more garbage than the right image_nlvr_class1,The left image shows a lot more garbage than the right image_nlvr_class2,The left image shows a lot more garbage than the right image_nlvr_class3,The left image shows a lot more garbage than the right image_nlvr_class4,The left image shows a lot more garbage than the right image_nlvr_class5,scaled_loc_dirty
0,0,1640579203504.jpg,1640579208606.jpg,1640579217348.jpg,1640579227198.jpg,1640579263327.jpg,3,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.8,1.0,0.6,0.8,0.4,0.8,0.0,1.0,0.8,0.4,3.210194893181324,3.24912553280592,3.1719665825366974,3.1035320982337002,3.005393609404564,2.675031878054142,2.680610235780477,2.823048979043961,2.6690979525446887,2.6889382675290108,3.0446805506944656,2.9963073283433914,3.0488258078694344,2.7430911362171173,2.764397829771042,2.0
1,1,1640579610659.jpg,1640579627503.jpg,1640579673835.jpg,1640579684677.jpg,1640579697027.jpg,0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.8,1.0,0.0,0.6,0.6,0.8,0.0,0.6,0.8,0.8,1.6269296240061522,1.6637693084776402,1.609603164717555,1.5444933883845806,1.8967671375721693,1.563705096486956,1.5764912681188434,1.671676788944751,1.515741317998618,1.7433999665081499,1.1750807971693575,1.1393863270059228,1.1756713311187923,0.97277540108189,1.458778141066432,1.0
2,2,1640580161247.jpg,1640580167274.jpg,1640580182718.jpg,1640580191623.jpg,1640580197665.jpg,1,0.4,0.2,0.2,0.4,0.2,0.2,0.6,1.0,0.0,0.8,0.6,0.4,0.4,0.8,0.8,0.6,0.8,2.938407815992832,2.966319110244513,2.906392116099596,2.845602460205555,2.7412784919142723,3.359499007463455,3.3610335215926166,3.6116411834955215,3.396899700164795,3.136652670800686,2.211768601089716,2.1462519634515047,2.219430479221046,1.8359247874468565,1.8208630997687576,1.0
3,3,1640580719963.jpg,1640580724746.jpg,1640580731747.jpg,1640580743444.jpg,1640580752869.jpg,0,0.6,0.4,0.4,0.4,0.4,0.6,0.8,0.6,1.0,0.0,0.8,0.2,0.6,0.0,0.4,1.0,0.8,2.0179633973166347,2.051432658918202,1.9907334931194784,1.928662709891796,2.0262934006750584,2.536753953434527,2.542987586930394,2.673136929050088,2.5399929368868466,2.5180469863116737,1.8502335892990232,1.7925118375569582,1.855969399213791,1.5381511598825457,1.6704069040715694,1.0
4,4,1640581262015.jpg,1640581266425.jpg,1640581272709.jpg,1640581279507.jpg,1640581299326.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.6,0.4,0.2,0.0,0.8,1.0,0.6,1.691790521144867,1.7370860800147057,1.6776665523648262,1.595587320625782,2.018659621477127,1.5223039984703064,1.5283671393990517,1.6827427521348,1.5425644591450691,1.8289802968502045,1.2188187837600708,1.1655015796422958,1.2233250699937344,0.973780306056142,1.4426513984799385,1.0
5,5,1640581601648.jpg,1640581609512.jpg,1640581616864.jpg,1640581622720.jpg,1640581632032.jpg,2,0.0,0.4,0.2,0.4,0.4,0.0,0.4,0.8,0.2,0.4,0.2,0.2,0.4,0.4,0.8,0.8,0.4,2.8738500624895096,2.91996493935585,2.842403568327427,2.7566662654280663,3.0156265720725064,2.627581238746643,2.6530190370976925,2.849484033882618,2.5668247118592262,2.8812674060463905,2.710745807737112,2.6505298539996147,2.713895905762911,2.3331948090344667,2.6489861533045764,1.0
6,6,1640581920242.jpg,1640581926658.jpg,1640581943585.jpg,1640581966138.jpg,1640582096559.jpg,0,0.4,0.4,0.2,0.0,0.6,0.6,0.6,0.8,1.0,0.0,0.6,0.4,0.2,0.0,0.4,0.8,0.4,1.036479119211435,1.063359871506691,1.0257729990407825,0.9688441576436162,1.242536885663867,1.1706850966438649,1.1714801359921694,1.3054905105382204,1.1883233068510892,1.3250636272132397,0.8820288293063641,0.8282163199037313,0.88695746101439,0.6324202422983944,0.9558244943618774,1.0
7,7,1640582526916.jpg,1640582534099.jpg,1640582546024.jpg,1640582555722.jpg,1640582568187.jpg,5,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.6,0.6,0.0,0.8,0.2,0.8,0.0,0.0,1.0,0.4,4.444195806980133,4.462134778499603,4.422209441661835,4.388812303543092,4.219769150018692,4.003152966499329,4.0061538219451895,4.1524938344955435,4.006509184837341,3.951470971107483,4.810724258422852,4.7958521246910095,4.8116992712020865,4.6283477544784555,4.479798674583434,3.0
8,8,1640583240836.jpg,1640583248115.jpg,1640583256318.jpg,1640583264899.jpg,1640583270472.jpg,0,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.8,0.8,0.0,0.2,0.2,0.4,0.0,0.8,0.4,0.2,0.6933577936142683,0.7207682859152555,0.6815083669498563,0.6261755898594856,0.8383603617548943,0.4645830220542848,0.4652536241337657,0.5731016439385712,0.4966439055278897,0.6248782873153687,0.4341676961630583,0.39989680727012455,0.4376355865970254,0.29948734398931265,0.4746485520154238,1.0
9,9,1640584208313.jpg,1640584214505.jpg,1640584226446.jpg,1640584232569.jpg,1640584241235.jpg,3,0.6,0.6,0.6,0.8,0.8,0.8,0.4,0.4,0.6,0.0,0.6,0.2,0.6,0.0,0.4,0.4,0.4,3.120729673653841,3.1436262167990208,3.1073705293238163,3.0668065696954727,3.1414941027760506,2.56524327211082,2.571437538601458,2.664850952103734,2.5720687620341782,2.7075130566954613,2.977595346979797,2.9480924187228084,2.980336844921112,2.776040816679597,2.927386060357094,2.0
10,10,1640584798704.jpg,1640584804866.jpg,1640584813868.jpg,1640584820422.jpg,1640584836811.jpg,1,0.2,0.2,0.0,0.0,0.2,0.2,0.4,0.8,0.6,0.0,0.8,0.2,0.6,0.0,0.8,1.0,0.2,0.5037674787454307,0.5276668118312955,0.5012426553294063,0.4506307509727776,0.7569156615063548,0.3193368517095223,0.3194316393346526,0.3930291692377068,0.3405524139525369,0.5341828195378184,0.2186344510409981,0.1978725694352761,0.22158515569753945,0.1606318347621709,0.4226436289027333,1.0
