Unnamed: 0,image1,image2,image3,image4,image5,loc_dirty,Is there trash?,Is there garbage?,Is there waste?,Is there junk?,Is there residue?,Is there rubbish?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of junk?,Is there a lot of residue?,Is there a lot of rubbish?,Is there any type of trash?,Is there any type of garbage?,Is there any type of waste?,Is there any type of junk?,Is there any type of residue?,Is there any type of rubbish?,Are there any bottles on the ground?,Are there any bags on the ground?,Is there any plastic on the ground?,Is there any paper on the ground?,Are thre any leaves on the ground?,Are there plants on the ground?,Are there any branches on the ground?,Is there any metal on the ground?,Are there any packages on the ground?,Is there any stuff on the ground?,Are there any times on the ground?,Are there any objects on the ground?,Is there anything in the water?,Are there small items on the ground?,Is there a lot of water?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there bricks?,Are there walls?,Is the ground empty?,Is the ground sand?,Are there stones?,Is there concrete,Is the ground clean?,Are there shadows on the ground?,Are there dark and light areas on the ground?,Are there houses?,Does the ground have different colors?,Are there people?,Are there clothes?,Is there laundry?,Are there animals?,Are there birds?,Are there trees?,nlvr_class1,nlvr_class2,nlvr_class3,nlvr_class4,nlvr_class5,scaled_loc_dirty
0,1640579203504.jpg,1640579208606.jpg,1640579217348.jpg,1640579227198.jpg,1640579263327.jpg,3,0.6,0.6,1.0,0.4,1.0,0.8,0.4,0.2,0.4,0.4,1.0,0.4,0.4,0.4,0.6,0.4,1.0,0.6,0.2,0.2,0.4,0.6,0.6,0.8,0.8,0.4,0.2,1.0,1.0,1.0,0.2,1.0,1.0,0.8,1.0,0.6,0.8,0.4,1.0,0.8,1.0,0.0,1.0,0.4,1.0,0.8,0.0,0.8,0.6,1.0,1.0,1.0,0.4,0.2,0.4,4.814634740352631,4.716585040092467,4.619498848915099,4.364506661891937,4.612686812877655,2.0
1,1640579610659.jpg,1640579627503.jpg,1640579673835.jpg,1640579684677.jpg,1640579697027.jpg,0,0.4,0.4,0.4,0.2,1.0,0.4,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.4,0.2,0.2,0.8,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.8,1.0,0.6,1.0,0.8,0.8,1.0,0.0,0.6,0.6,0.8,0.8,0.6,0.0,0.6,1.0,0.8,0.8,0.2,0.8,1.0,1.0,1.0,0.8,0.4,0.2,0.8,1.4283547157538123,1.2978156565222891,1.2244016656186432,1.2096382048912346,1.960344584658742,1.0
2,1640580161247.jpg,1640580167274.jpg,1640580182718.jpg,1640580191623.jpg,1640580197665.jpg,1,0.2,0.4,0.8,0.4,1.0,0.2,0.2,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.4,0.2,0.6,0.2,0.4,0.2,0.4,0.6,0.0,0.2,1.0,0.6,0.2,1.0,0.4,1.0,0.0,1.0,1.0,1.0,0.0,0.8,0.6,0.4,0.4,0.4,0.6,0.8,0.8,0.4,0.6,0.6,0.0,0.6,1.0,1.0,1.0,0.8,1.0,0.6,0.8,2.1556525480700657,2.122433420619928,2.1108466609148313,2.0760193527676165,2.3200426697731023,1.0
3,1640580719963.jpg,1640580724746.jpg,1640580731747.jpg,1640580743444.jpg,1640580752869.jpg,0,0.6,0.6,0.8,0.6,1.0,0.8,0.4,0.4,0.4,0.4,1.0,0.4,0.6,0.6,0.8,0.6,1.0,0.8,0.2,0.6,0.8,0.8,0.0,0.0,0.0,0.8,0.8,1.0,1.0,0.8,0.2,1.0,1.0,0.6,1.0,0.0,0.8,0.2,0.4,0.6,0.4,0.0,0.4,0.2,1.0,0.6,0.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,0.8,2.889045532792806,2.7966919895261526,2.7068785186856985,2.4828646853566165,2.9055255204439163,1.0
4,1640581262015.jpg,1640581266425.jpg,1640581272709.jpg,1640581279507.jpg,1640581299326.jpg,0,0.6,0.6,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.4,0.0,1.0,0.2,0.8,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.2,1.0,0.8,1.0,0.2,1.0,1.0,1.0,1.0,0.0,0.6,0.4,0.8,0.2,0.2,0.0,0.8,0.2,1.0,0.6,0.0,1.0,0.6,1.0,1.0,0.8,0.8,0.6,0.6,3.4789933562278748,3.2363613843917847,3.1019770950078964,2.9214625358581543,3.5913919210433964,1.0
5,1640581601648.jpg,1640581609512.jpg,1640581616864.jpg,1640581622720.jpg,1640581632032.jpg,2,0.6,0.6,0.6,0.0,1.0,0.6,0.4,0.2,0.4,0.0,0.6,0.4,0.4,0.4,0.8,0.0,1.0,0.4,0.4,0.0,0.6,0.4,0.8,1.0,1.0,0.4,0.0,1.0,0.6,1.0,0.4,1.0,1.0,0.8,0.2,0.4,0.2,0.2,0.2,0.4,1.0,0.4,0.8,0.4,1.0,0.6,0.0,0.8,0.8,1.0,1.0,0.8,0.8,0.2,0.4,2.5113326138816774,2.3577483259141445,2.2612898452207446,2.1483080331236124,2.6810793094336987,1.0
6,1640581920242.jpg,1640581926658.jpg,1640581943585.jpg,1640581966138.jpg,1640582096559.jpg,0,0.6,0.6,0.8,0.4,1.0,0.8,0.4,0.2,0.0,0.0,1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.6,0.0,0.2,0.6,0.4,0.0,0.2,0.2,0.6,0.4,1.0,1.0,1.0,0.2,1.0,1.0,0.8,1.0,0.0,0.6,0.4,0.4,0.2,0.0,0.0,0.4,0.0,1.0,0.4,0.0,0.8,0.6,1.0,1.0,1.0,0.8,0.2,0.4,2.006866763229482,1.96486810722854,1.9328203675104303,1.8530281276907767,2.035289190709591,1.0
7,1640582526916.jpg,1640582534099.jpg,1640582546024.jpg,1640582555722.jpg,1640582568187.jpg,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.0,0.8,0.6,0.0,0.6,0.6,0.8,1.0,1.0,0.8,0.4,1.0,0.8,1.0,0.0,1.0,1.0,0.6,0.6,0.0,0.8,0.2,0.2,0.8,1.0,0.0,0.0,0.6,1.0,0.4,0.0,1.0,0.0,0.8,1.0,0.8,0.6,0.2,0.4,4.923698902130127,4.885838866233827,4.8417190313339225,4.704149663448334,4.811754405498505,3.0
8,1640583240836.jpg,1640583248115.jpg,1640583256318.jpg,1640583264899.jpg,1640583270472.jpg,0,0.2,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,1.0,0.6,1.0,0.2,1.0,0.8,0.8,0.8,0.0,0.2,0.2,0.8,0.4,0.2,0.0,0.8,0.6,1.0,1.0,0.0,0.4,0.6,0.8,0.6,1.0,0.4,0.2,0.2,1.6026020639110357,1.512238146038726,1.4578769763465969,1.397647485602647,1.7911231517791748,1.0
9,1640584208313.jpg,1640584214505.jpg,1640584226446.jpg,1640584232569.jpg,1640584241235.jpg,3,0.8,1.0,1.0,0.6,1.0,1.0,0.6,0.6,0.8,0.6,1.0,0.8,0.6,0.8,1.0,0.8,1.0,0.6,0.2,0.2,1.0,0.8,1.0,1.0,1.0,0.4,0.2,1.0,0.2,1.0,0.4,1.0,0.8,0.4,0.6,0.0,0.6,0.2,0.4,0.6,0.8,0.0,0.4,0.4,1.0,0.6,0.0,0.4,0.4,1.0,0.8,0.6,1.0,0.8,0.4,4.7905113697052,4.676308035850526,4.578899025917052,4.3110164403915405,4.555960834026337,2.0
