,image1,image2,image3,image4,image5,loc_dirty,Is there junk?,Is there a lot of trash?,Is there a lot of garbage?,Is there a lot of waste?,Is there a lot of rubbish?,Is there any type of junk?,Is there any metal on the ground?,Is there water?,Is there grass?,Is there sand?,Are there buildings?,Are there structures?,Are there walls?,Is the ground sand?,Are there stones?,Are there houses?,Are there trees?
2230,1643010484903.jpg,1643010503839.jpg,1643010515868.jpg,1643010540005.jpg,1643010555732.jpg,5,0.4,0.6,0.4,0.6,0.6,0.4,0.4,0.2,0.0,0.0,0.6,0.4,1.0,0.0,0.4,0.6,0.2
2231,1643010836826.jpg,1643010855005.jpg,1643010877702.jpg,1643010898928.jpg,1643010939950.jpg,0,0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.6,0.0,0.0,0.6,0.6,0.8,0.0,1.0,0.6,0.8
2232,1643011648146.jpg,1643011670976.jpg,1643011685256.jpg,1643011694075.jpg,1643011708360.jpg,1,0.2,0.4,0.2,0.0,0.2,0.2,0.0,0.8,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.6,0.6
2233,1643012296902.jpg,1643012311321.jpg,1643012328586.jpg,1643012339043.jpg,1643012361090.jpg,5,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.2,0.0,0.2,0.2,0.2,0.6,0.4,0.0,0.4,0.0
2234,1643013021842.jpg,1643013042168.jpg,1643013064551.jpg,1643013078999.jpg,1643013093351.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.6,0.6,0.8,0.4,0.8,0.8,0.8
2235,1643013732480.jpg,1643013791156.jpg,1643013810250.jpg,1643013833978.jpg,1643013856460.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.6,0.6,0.8,0.8,1.0,0.6,0.4
2236,1643015915330.jpg,1643016034331.jpg,1643016063553.jpg,1643016092174.jpg,1643016114603.jpg,1,0.4,0.4,0.4,0.2,0.6,0.6,0.2,0.6,0.0,0.2,0.8,0.4,0.6,0.4,0.2,0.6,0.4
2237,1643018758863.jpg,1643018771978.jpg,1643018785621.jpg,1643018802304.jpg,1643018817663.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0,0.6,0.6,0.8,0.4,0.2
2238,1643019091275.jpg,1643019131825.jpg,1643019145754.jpg,1643019189600.jpg,1643019216604.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.8,0.6,0.0,0.2,0.8,0.4,0.4,0.2
2239,1643020175176.jpg,1643020186507.jpg,1643020198910.jpg,1643020218120.jpg,1643020254066.jpg,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.0,0.6,0.6,0.8,0.4,0.2
2240,1643021207167.jpg,1643021219424.jpg,1643021240806.jpg,1643021254524.jpg,1643021525766.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.2,0.0,0.6,0.6,0.8,0.2,0.0
2241,1643022079397.jpg,1643022109337.jpg,1643022134522.jpg,1643022159416.jpg,1643022184135.jpg,1,0.2,0.2,0.2,0.2,0.2,0.0,0.0,1.0,0.0,0.2,0.4,0.2,0.4,0.2,0.6,0.4,0.0
2242,1643022504013.jpg,1643022516941.jpg,1643022532373.jpg,1643022542593.jpg,1643022557413.jpg,2,0.0,0.4,0.2,0.4,0.6,0.0,0.0,0.4,0.8,0.0,0.4,0.0,0.4,0.0,0.6,0.2,0.0
2243,1643022690405.jpg,1643022710672.jpg,1643022729020.jpg,1643022741795.jpg,1643022770047.jpg,1,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.4,0.4,0.0,0.0
2244,1643023134531.jpg,1643023145064.jpg,1643023155860.jpg,1643023165488.jpg,1643023184618.jpg,1,0.4,0.6,0.4,0.4,0.6,0.2,0.4,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
2245,1643023386343.jpg,1643023406013.jpg,1643023423927.jpg,1643023434309.jpg,1643023473230.jpg,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.4,0.0,0.4,0.4,0.6,0.4,0.0
2246,1643024074815.jpg,1643024098277.jpg,1643024130770.jpg,1643024144372.jpg,1643024158584.jpg,2,0.2,0.2,0.2,0.2,0.4,0.0,0.4,0.6,0.0,0.2,0.2,0.2,0.8,0.2,0.8,0.0,0.2
2247,1643024570510.jpg,1643024599596.jpg,1643024617118.jpg,1643024631335.jpg,1643024650539.jpg,1,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.2,0.0
2248,1643024924117.jpg,1643024942021.jpg,1643024957231.jpg,1643024976498.jpg,1643025001938.jpg,2,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.2,0.0,0.2,0.0,0.8,0.0,0.2,0.4,0.0
2249,1643026038497.jpg,1643026054295.jpg,1643026067814.jpg,1643026092550.jpg,1643026101099.jpg,2,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.0,0.2,0.4,0.2,0.8,0.4,0.2,0.6,0.0
2250,1643098968563.jpg,1643098985383.jpg,1643098998854.jpg,1643099036286.jpg,1643099051050.jpg,2,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.6,0.2,0.6,0.0,0.6,0.0,0.4,0.6,0.2
